User|Tweet
SkinnyLana|&lt; p e r f e c t &gt; http://t.co/g72jN7oVQs
SkinnyLana|Being skinny doesn't necessarily mean you have an eating disorder. Just as being fat doesn't mean you don't
SkinnyLana|Just because i'm fat that doesn't mean i don't have an eating disorder
SkinnyLana|I had to delete most of my thinspo because it was creeping my friends out
SkinnyLana|Why did i ate that?
SkinnyLana|Love? Na
SkinnyLana|Not eating is a way of surviving because i know if i do the guilt would kill me instantly
SkinnyLana|This is the only way of surviving
SkinnyLana|It's not a choice..
SkinnyLana|👇👇 http://t.co/CzbxUNI7Md
SkinnyLana|I'm so fucked up
SkinnyLana|This body http://t.co/PL4Nvee36s
SkinnyLana|My friends don't get it because they are skinny
SkinnyLana|Me http://t.co/ZflHpcZ5Y5
SkinnyLana|A bit of blood never kill nobody
SkinnyLana|I just want to die
SkinnyLana|Skinny = Happiness
SkinnyLana|There is no food for me now, just number
SkinnyLana|black all black everything
SkinnyLana|Same weight, same shit
SkinnyLana|omg i just looked my body in the mirror... i can't believe i thought i was losing weight
SkinnyLana|Empty stomach = Happiness
SkinnyLana|I hate myself
SkinnyLana|No food. No food. No food
SkinnyLana|Tea, only tea
SkinnyLana|@Twt4bones you are right, thanks babe
SkinnyLana|Nothing more disgunting than McDonalds
SkinnyLana|I would love having a ana buddy. But what if let them down? What if i binge?
SkinnyLana|Perfection http://t.co/rlZYWpN84Z
SkinnyLana|This. http://t.co/QzIQRlGfmK
SkinnyLana|@thinnatic you are right hun😊
SkinnyLana|@thinnatic you are perfect
SkinnyLana|😍😍😍 http://t.co/u6YBeLzYAb
SkinnyLana|I want them all 😍😍 http://t.co/BJtDUN8NKo
SkinnyLana|•shine bright like a diamond• http://t.co/hUVM9OagLr
SkinnyLana|💥🌟Perfection🌟💥 http://t.co/DnnYCVyb0i
SkinnyLana|Fuck society http://t.co/0ErRDz3igA
SkinnyLana|Amazing http://t.co/AGZyl6GihF
SkinnyLana|#thinspo http://t.co/1CDvPvHdcH
SkinnyLana|I want the people around to whisper about how skinny i gotten
SkinnyLana|I want to look good naked
SkinnyLana|I wanna be skinny so a bikini from triangl swimwear looks good on me
SkinnyLana|I wanna be able to wear skinny jeans and look good
SkinnyLana|Guys with black hair and blue eyes😍😍
SkinnyLana|So fucking perfect http://t.co/jIoYGyCPBx
SkinnyLana|I'm not eating tommorow, that's it http://t.co/g34ljQs6m5
SkinnyLana|Omg white chocolate
SkinnyLana|I WON'T EAT http://t.co/PbFaQqchNy
SkinnyLana|😍😍😍 http://t.co/on5PXQawkl
SkinnyLana|Fucking perfect http://t.co/D1KmRnAFJt
SkinnyLana|Endless galaxies http://t.co/6DCI40Esrn
SkinnyLana|Sick of being fat, sick of being myself
SkinnyLana|"""If you don't eat, you gain weight"" http://t.co/bUUIaxICnZ"
SkinnyLana|Lana my love❤️ http://t.co/c3ywH3OMWm
SkinnyLana|👈 Failure
SkinnyLana|👈 Fatass
SkinnyLana|👈Ugly bitch
SkinnyLana|Fat fat fat.....
SkinnyLana|Loving him as he loves her
SkinnyLana|#thinspo http://t.co/nnsKq5w7AQ
SkinnyLana|Starting this tommorow, wish me luck xx http://t.co/ae21zSMgbM
SkinnyLana|Im in love with this legs http://t.co/GuoMDn9zGd
SkinnyLana|❌❌❌ http://t.co/LQZ91fMP9T
SkinnyLana|Im such a stupid fat failure
SkinnyLana|Im going to fail all my classss god
SkinnyLana|❌❌Turn out for what❌❌
SkinnyLana|@TampaBayBoy44 thank u hun❤️❤️
SkinnyLana|"""Perfection is a disease of a nation"""
SkinnyLana|Just this.... https://t.co/G2ZpDeFqP2
SkinnyLana|I'm the fat cow in my group
SkinnyLana|Its so embarrasing because my friends are so skinny
SkinnyLana|Fuck  😄🔫 http://t.co/Sy6CmlmRHC
SkinnyLana|💥💥 READ WHEN HUNGRY💥💥 http://t.co/ezCP3gblEX
SkinnyLana|Maybe.. I will post a #picslip
SkinnyLana|Me: 🐮
SkinnyLana|Thinspo baby http://t.co/ymIoUGvGcI
SkinnyLana|This girl is just so perfect #wannabe http://t.co/grkSTIL1Fc
SkinnyLana|Yeah... Impossible http://t.co/L0AcSuMJLL
SkinnyLana|My head hurts for no eating, need some sugar
SkinnyLana|Going to the gym will only make you bigger
SkinnyLana|No i don't want to be fit, i want to be SKINNY
SkinnyLana|Need this guy in my life http://t.co/NZlXgtfBoG
SkinnyLana|I want their skin color😢😢 why im so pale??? http://t.co/b0HfmGG4LK
SkinnyLana|"""I believe in pink"""
SkinnyLana|I'm in love with tigers💥 http://t.co/OyGXJhDCuo
SkinnyLana|Perfection http://t.co/jnzniM8Bbq
SkinnyLana|Little they know that the girl who takes a lot of selfies doesnt like any one of them
SkinnyLana|Just because i take a lot of selfies that doesnt mean i love myself
SkinnyLana|I'm so ugly, god i hate my face
SkinnyLana|Im back... I been eating so much i felt guilty to log in this account
SkinnyLana|Fat fat fat
SkinnyLana|Gorda gorda gorda
SkinnyLana|I want this.. http://t.co/7BeJMVy2yk
SkinnyLana|Psyco psyco psyco http://t.co/cmuQ73PEmK
SkinnyLana|I have no flaws. I'm a flaw
SkinnyLana|I need to be tan. It makes me look skinny
SkinnyLana|I ate so much.. Starting monday going back to dieting and fasting
SkinnyLana|I'm so fucked up
SkinnyLana|I love him and he doesnt even talk to me anymore
SkinnyLana|Fatspo? Wtf?
SkinnyLana|@florinsno because i said so
SkinnyLana|@florinsno not funny sweety
SkinnyLana|Perfection http://t.co/AsI5B61Dzm
SkinnyLana|54 kg so fat
SkinnyLana|hangover is a bitch
SkinnyLana|When i was skinny my life was better
SkinnyLana|why are all my friends so tiny and perfect?
SkinnyLana|why are all the girls in my school so skinny?
SkinnyLana|Me after chocolate attack: http://t.co/Vl4hN95YVd
SkinnyLana|"""Fake it till you make it"""
SkinnyLana|Perfection http://t.co/vmVS1eKkAs
SkinnyLana|I'm in love with these two❤️❤️❤️ http://t.co/WDsfFcH7KC
SkinnyLana|@anorexicaccount ur perfect!!!! 😞😞 i want those legs
SkinnyLana|@fairyfading beautiful☺️
SkinnyLana|I'm too fat to be ana or mia
SkinnyLana|The only thing i like about myself are my wrists. But they are fat anyway.. http://t.co/5eCNlyDNsL
SkinnyLana|When a cheat meal turns into a cheat week: http://t.co/013y6C0Kqc
SkinnyLana|"I want to make guys go ""wow you are so skinny"""
SkinnyLana|Ian Somerhalder makes me happy
SkinnyLana|I feel so guilty for eating so much today
SkinnyLana|Cheat day today✖️✖️
SkinnyLana|😮😮😮need these now http://t.co/9lReDsOYuF
SkinnyLana|Me: http://t.co/lSev1bymez
SkinnyLana|Skin &amp; bones for me please?
SkinnyLana|@suicidal_male omg u are a sweetheart❤️❤️  thanks for the following back!! U can always count on me if u need someone to talk too 😘
SkinnyLana|Let's cuddle while we listen to Lana Del Rey
SkinnyLana|I was thinking about making this a private account so i can maybe post   #picslip
SkinnyLana|When i get skinny the first thing i'm buying is one of these http://t.co/ZNOGHXwVKd
SkinnyLana|I'm in love with beards now❤️ http://t.co/zeS7AQ9I2a
SkinnyLana|So perfect, life is unfair http://t.co/6fyezCRuqM
SkinnyLana|😍😍 http://t.co/4FVcBFlYBx
SkinnyLana|I want to be fragile and boney
SkinnyLana|“@inkedandhairy: andre hamann is so beautiful http://t.co/5tAudRWRoZ” perfection 😍😍😍😍
SkinnyLana|Yesterday i friend told me i looked happier when i eat, little he knows that when nobody is around i die inside
SkinnyLana|I need that tan, i need that bikini and most important I NEED THAT BODY #thinspo http://t.co/3yotxFy7TN
SkinnyLana|Some #thinspo to start the day off http://t.co/r9NML9oRTy
SkinnyLana|#suicidejokes are inappropriate http://t.co/UC68hQfKfK
SkinnyLana|Me when i hear skinny girls talking about how bad they need to start a diet http://t.co/WbqLP3e156
SkinnyLana|••• http://t.co/2N6YBMq5Bs
SkinnyLana|"Guys don't realize why girls are so obsessed with weight until they see a fat girl and go ""eww"""
SkinnyLana|I hate being single
SkinnyLana|Im in love with my pink sweat pants
SkinnyLana|I don't understand why i weight 54kg and people who weight 58kgs are skinnier
SkinnyLana|Fat fat fat
SkinnyLana|Fat
SkinnyLana|Orange juice &amp; Coffe
SkinnyLana|Food is the enemy
SkinnyLana|Omg this three days i ate way too much
SkinnyLana|I'm gonna die alone http://t.co/HcXSXR1Tbk
SkinnyLana|Meeh it's better than being fat http://t.co/MMNXZauDpW
SkinnyLana|Depression kills me
SkinnyLana|I need to start the gym
SkinnyLana|Im in love with these.. http://t.co/DW4q9zsk0k
SkinnyLana|#staystrongforaday
SkinnyLana|Me: http://t.co/V07Q8KxKpH
SkinnyLana|☕️☕️☕️
SkinnyLana|••• http://t.co/XSnSzs9MqW
SkinnyLana|I found this so perfect http://t.co/NXfCfuUthw
SkinnyLana|I'm so done with everyone
SkinnyLana|fuck this
SkinnyLana|My fucking best friend doesnt even notice me
SkinnyLana|Omg i want this hair http://t.co/656qfxuEGl
SkinnyLana|I love the night
SkinnyLana|I need vacations like.. NOW
SkinnyLana|I ate way toooo much soup
SkinnyLana|My mom wants to force a pizza down my throat
SkinnyLana|Cut it off ✂️
SkinnyLana|Fat fat fat
SkinnyLana|Hiii skinnies
SkinnyLana|Me on the beach this summer http://t.co/zUA2HnCArX
SkinnyLana|Me at the beach http://t.co/jdfMtYRTiA
SkinnyLana|wanna be thin
SkinnyLana|I ate way to much today
SkinnyLana|I need a Christian Grey
SkinnyLana|My life: Criminal Minds
SkinnyLana|I'm in love with Dr. Reid
SkinnyLana|I'm in love with Lana http://t.co/FH2Cyo1FNL
SkinnyLana|Kiss me like you wanna be loved
SkinnyLana|I need kisses all over my body
SkinnyLana|I need neck kisses
SkinnyLana|Pistachos pistachos pistachos
SkinnyLana|Pistachos, what a funny word
SkinnyLana|I'm so ugly.. That's why i need to be skinny
SkinnyLana|Tommorow tuesday... Mehhh hate them like mondays
SkinnyLana|Black black black
SkinnyLana|I feel black, so i wear black
SkinnyLana|I'm always so tired
SkinnyLana|Need this bra http://t.co/8rrgSdjCuh
SkinnyLana|I love your smile, your eyes, your body, your hair, i love you
SkinnyLana|I love you...
SkinnyLana|My ansiety levels are to high
SkinnyLana|I almost binge today haha im proud
SkinnyLana|50 kgs 50 kgs 50 kgs 50 kgs 50 kgs
SkinnyLana|Starting tommorow liquid diet 👏
SkinnyLana|I hate cats
SkinnyLana|"""You lost weight"" http://t.co/zb0tUQGWyS"
SkinnyLana|Tommorow history exam, god why???
SkinnyLana|🔸🔹🔸🔹 http://t.co/EE8WzmVRj9
SkinnyLana|"""I'm alice in hungerland"""
SkinnyLana|Want this so badly😍 http://t.co/qNy9IjTiA6
SkinnyLana|#thinspo http://t.co/rZ6Wb60GxV
SkinnyLana|••••• http://t.co/dvu8mUtnjy
SkinnyLana|🔫💊🚬💉 http://t.co/haWlDZJ6cC
SkinnyLana|http://t.co/zSKFLdkEsc
SkinnyLana|❤️❤️ http://t.co/JlPRSuBaZ3
SkinnyLana|Aaaaa my love for Doritos is too strong
SkinnyLana|Me when i binge http://t.co/QabsqQam5a
SkinnyLana|Granma's house. Fuck me right? Too much food🔫
SkinnyLana|I'm in love with this Miley stage http://t.co/kNamn2EnG9
SkinnyLana|So perfect http://t.co/wyiheHEcN5
SkinnyLana|CHANGE CHANGE CHANGE http://t.co/n0qy0XyuO5
SkinnyLana|I'm in love with this bikini😍 http://t.co/Db9DnaqGhG
SkinnyLana|Perfection http://t.co/ADGnRENqU3
SkinnyLana|Hate my life
SkinnyLana|Poor Miley
SkinnyLana|49 kg is all i want
SkinnyLana|Kiss me slowly
SkinnyLana|Why i'm not like this? http://t.co/4VuqKbwuuO
SkinnyLana|Can't do this anymore
SkinnyLana|I'm so tired of crying
SkinnyLana|I'm so tired of hating myself
SkinnyLana|"""Kiss me like you wanna be love"""
SkinnyLana|Good friday
SkinnyLana|Good morning..
SkinnyLana|I loose everything, why can't i loose fat too?
SkinnyLana|Water fast tommorow, punishment for eating way too much for dinner today
SkinnyLana|Calories are the enemies
SkinnyLana|Whyyyyy did i eat that?????? God
SkinnyLana|"""You don't have to be skinny to suffer from a eating disorder"""
SkinnyLana|I always start the combersation, i'm so desperate
SkinnyLana|I just want to die when i have to listen to my skinny blond friends talking about how fat they are and how they are going to the gym all day
SkinnyLana|I wish that i was that girl that smiles but is dying inside.. I'm the girl that cries and get angry, the girl who is already dead
SkinnyLana|I'm not a nice person...I'm not cute...
SkinnyLana|I would never post a #picslip, too fat and ugly for that shit
SkinnyLana|All teenagers are depressed, the thing is some are better at hiding it
SkinnyLana|I really stop drinking water and i really don't know why. I'm just not thristy anymore
SkinnyLana|Tea tea and more tea
SkinnyLana|I still remember our first kiss..
SkinnyLana|Ugh it disgust me how much i need men in my life
SkinnyLana|Omg so romantic http://t.co/b2G3FcQ2ht
SkinnyLana|I hate being alone
SkinnyLana|This plz? http://t.co/EQOstvDVP3
SkinnyLana|I want this http://t.co/sxeOsnQl7H
SkinnyLana|I need someone who loves me
SkinnyLana|"""We were born to die
We were born to die
We were born to die"""
SkinnyLana|Don't make me sad, don't make me cry
SkinnyLana|Perfection http://t.co/lWFjiskNDW
SkinnyLana|🚬🚬🚬🚬
SkinnyLana|Fat failure Fat failure Fat failure
SkinnyLana|My eyes are always red from crying
SkinnyLana|I want this so badly http://t.co/8uUXuRvdVV
SkinnyLana|Me when i take a selfie http://t.co/JyDzK8fsKI
SkinnyLana|"""Well why aren't yoy skinny then?"" http://t.co/Qgpwu3VS7P"
SkinnyLana|Why i'm so unhappy?
SkinnyLana|I'm afraid of gaining weight
SkinnyLana|#thinspo http://t.co/odX4kM3ZqQ
SkinnyLana|I need to smoke 🚬🚬
SkinnyLana|Speechless 🙊 http://t.co/x5VgiVfY2x
SkinnyLana|Love is such a terrible thing when you love someone and that person doesn't love you back
SkinnyLana|I'm in love with him
SkinnyLana|I'm in love with his soul
SkinnyLana|I'm in love with his body
SkinnyLana|"""You are to skinny"" http://t.co/A93cfa5PMY"
SkinnyLana|God i hate myself
SkinnyLana|I'm starting my diet again tommorow only black coffe and vegetables
SkinnyLana|This weekend was pure alcohol and good, sucks
SkinnyLana|OMG!!!!! http://t.co/B8VwyV6dZh
SkinnyLana|http://t.co/vYvVgPceAC
SkinnyLana|I had a costume party this weekend and i dressed up like a playboy bunny.... Such a fat playboy bunny
SkinnyLana|So difficult to like myself when im ao fat
SkinnyLana|I need to learn how to love myself
SkinnyLana|••• http://t.co/UiPgn8kIZ9
SkinnyLana|Me http://t.co/W1v5FmCYB5
SkinnyLana|I'm so ugly
SkinnyLana|👏 http://t.co/gdWStr3Fmb
SkinnyLana|I WON'T EAT http://t.co/01d7mevSMm
SkinnyLana|❤️❤️❤️❤️ http://t.co/sONjU636Du
SkinnyLana|"""Pain changes people"""
SkinnyLana|Ordinary love❤️❤️
SkinnyLana|Did you know? http://t.co/yfbm32frep
SkinnyLana|"My mom knows i have a problem with my weight so now she is always ""oh you are so skinny "" ""you look beautiful today"""
SkinnyLana|I never actually cut myself, i believe i'm too weak
SkinnyLana|My english is horrible ❌
SkinnyLana|This made me cry http://t.co/Al9fp9CCg8
SkinnyLana|Ugh my head hurts
SkinnyLana|Hate school🔫
SkinnyLana|Hate mornings
SkinnyLana|I just want somebody who loves me
SkinnyLana|Sad songs?? Anyone??
SkinnyLana|Cut of fat ✂️✂️✂️✂️✂️
SkinnyLana|•I'm the architect of my own destruction•
SkinnyLana|So perfect, so unfair http://t.co/VryuTryo3B
SkinnyLana|So true http://t.co/Z332es22AP
SkinnyLana|I'm pretty? No
SkinnyLana|I'm so stupid, i'm crying over my ex
SkinnyLana|I really love him
SkinnyLana|#thinspo#perfection http://t.co/PxRIwYbkmm
SkinnyLana|I crave chocolate 🙊🙊🙊🙊
SkinnyLana|Boys only like skinny girls
SkinnyLana|I'm so tired of everything
SkinnyLana|Always http://t.co/r56N4diseG
SkinnyLana|❤️❤️ http://t.co/77T47gbSWR
SkinnyLana|I hate sundays
SkinnyLana|http://t.co/Cmtfm8gckk
SkinnyLana|http://t.co/NVXZhM2ZWt
SkinnyLana|Please god let this be me http://t.co/qpNRCsB1F3
SkinnyLana|I always wear black, im not that weird right?
SkinnyLana|I'm in love with bones
SkinnyLana|Soooo fat
SkinnyLana|I hate school so much.. Sooooo much
SkinnyLana|He just keeps breaking my heart..
SkinnyLana|👏👏👏 http://t.co/V86wknUXt2
SkinnyLana|Beatiful Miley http://t.co/lYHHT818jj
SkinnyLana|👏amazing http://t.co/nX34zIwNih
SkinnyLana|@BelieveInIt_ hahaha anything you want sweetheart😘
SkinnyLana|•Glorious Bones• http://t.co/GhHuyqwo2V
SkinnyLana|Beautiful http://t.co/ihLsgja40u
SkinnyLana|Yes pleasee http://t.co/4lQHzRdFmI
SkinnyLana|Perfection #thinspo 😍😍😍 http://t.co/tSCiWno0PN
SkinnyLana|faa aaaa aaaat arms
SkinnyLana|Faaaaaaaaaat thighs
SkinnyLana|I eat way too much soup
SkinnyLana|Lalala my head hurts
SkinnyLana|Interesting... I'm egyptian what are you? http://t.co/fc3WCEilhR
SkinnyLana|Eminem i fucking love you
SkinnyLana|good morning! It's so cold and i'm loving it
SkinnyLana|Luv my cup☕️ http://t.co/3gJEx5BIlx
SkinnyLana|This reminds me of Beyonce❤️💋 http://t.co/xYYFkjbsLI
SkinnyLana|I'm not okay, i'm not fine... Why can't anyone notice it?
SkinnyLana|"""Will you still love me when I'm no longer young and beautiful 
Will you still love me when I got nothing but my aching soul"""
SkinnyLana|I love him i love him i love him
SkinnyLana|•a fat girl - a skinny girl•
SkinnyLana|It's hard to like yourself when nobody likes you
SkinnyLana|Maybe i'm never going to like myself..
SkinnyLana|Those legs😍😍😍😍😍 http://t.co/l8Rx3smWi5
SkinnyLana|want want want http://t.co/jRB5zUDh7K
SkinnyLana|Sometimes i feel it just not worth it anynore
SkinnyLana|I spend an awful time looking at the mirror, not because i like that i see, its because all i see are flaws
SkinnyLana|I just wanna be skinny
SkinnyLana|💞💞 http://t.co/WFg5xeGutQ
SkinnyLana|omg why????????? http://t.co/JvGLK2KDKE
SkinnyLana|I hate my thighs
SkinnyLana|Fat fat fat fat fat http://t.co/3VhTztHwax
SkinnyLana|Lately im either super angry or super sad
SkinnyLana|"God i hate my ""friends"", so fake"
SkinnyLana|You have a boyfriend and you talk to  all the guys in the world? Whore
SkinnyLana|Calorie intake today: 230 👍?👎?
SkinnyLana|Hi beautiful #LanaDelRey#wannabe#queenb http://t.co/4OLD182oou
SkinnyLana|Aaaaaa❤️❤️ http://t.co/WFl0Tubihy
SkinnyLana|why im so fat?
SkinnyLana|"""Too sassy"""
SkinnyLana|Okey i'm hungry, but there is no way im eating anything. Maybe i just fill my stomach with water. http://t.co/5729ExmaHB
SkinnyLana|I loveeeeeee Fifty Shades❤️❤️ i'm really considering reading it again
SkinnyLana|I already know the names of the kids that i'm not going to have.. Maybe i name dogs like this: Olivia, Ian and Elena
SkinnyLana|Ian Somerhalder doesn't know but i'm his girlfriend, we been secretely dating since i first saw him
SkinnyLana|"""Fat"" http://t.co/xQu3kLDxkA"
SkinnyLana|Lana Del Rey saves me every night💞 http://t.co/EOobrzZbwg
SkinnyLana|"""Don't break me down
I've been travelin' too long
I've been trying too hard
With one pretty song"""
SkinnyLana|@NoMoreSadness2 Aww you are the best ☺️☺️! Count on me with everything
SkinnyLana|"I hate people that use ""gay"" as an insult, as something negative."
SkinnyLana|@NoMoreSadness2 thank you so much ✨💖 ur too sweet
SkinnyLana|I need someone. This cold and late nights make me feel so alone.
SkinnyLana|When i'm hungry i read this, works for me http://t.co/XCNjbrHhPK
SkinnyLana|@IdekWhyImStill plz no, stay strong❤️ stay with me
SkinnyLana|hahaha 😂😂 http://t.co/JmyfBnUKeu
SkinnyLana|•if you go to sleep hungry is because you are doing something right•
SkinnyLana|🌌🌌 http://t.co/XbchPDzNE4
SkinnyLana|😍😍😍 http://t.co/85PyK1trJs
SkinnyLana|@JOLONDOLO me 2!! 😓😓
SkinnyLana|❌❌❌❌ http://t.co/Y1m36K3yhK
SkinnyLana|I think my stomach is eating itself
SkinnyLana|So perfect 🔫 http://t.co/g1aGvHxHhY
SkinnyLana|@Too_Fat_Ana envyy😭
SkinnyLana|Perfection #thinspo#thinspiration http://t.co/miY0dDkVm8
SkinnyLana|Necesito pesar 40 kilos
SkinnyLana|I really want to smoke, never try it though
SkinnyLana|@Meoweoweo tea is the best anyway, it's relaxing ☕️
SkinnyLana|@Meoweoweo maybe u can try a bit of coffe with lots of low fat milk
SkinnyLana|Feeling kind of dizzy, i might need sugar
SkinnyLana|@Meoweoweo sugar free gum + lots of water, 1 banana and 2 cups of coffe. I think i kept it under 400 haha dunno
SkinnyLana|@Meoweoweo amazing babe👌👌
SkinnyLana|NEED THIS http://t.co/WcfqZL4VIo
SkinnyLana|Someone??? http://t.co/uURwX2bOq7
SkinnyLana|@Meoweoweo 👏👏 counting vegetables and fruits?
SkinnyLana|"""The sun sees your body - The moon sees your soul"""
SkinnyLana|All my friends are skinny, kill meh
SkinnyLana|OMG 💇🙋 http://t.co/JnBFVLbChm
SkinnyLana|"""Normal size"" isn't enough"
SkinnyLana|"""Oink oink oink""  means ""I love you"" in my language"
SkinnyLana|I don't want to eat. I can't eat. I'm fat. I'm not hungry http://t.co/kWhs3eCReP
SkinnyLana|Who could love me? I'm out of my mind
SkinnyLana|I love you so much💘💘 http://t.co/SaOaTdomTu
SkinnyLana|Cafe latte, to much calories right? Due to the milk
SkinnyLana|God let this be me http://t.co/Kxae8msA9d
SkinnyLana|Ughhhhhh stomach shut up, you are not hungry
SkinnyLana|Primer dia y ya tengo hambre, voy a llenar mi estomago con cafe
SkinnyLana|@Prettyinthin i care, count on me sweety💞
SkinnyLana|#thinspo http://t.co/NvtODB9qRD
SkinnyLana|http://t.co/tfCubzAN98
SkinnyLana|I'm so fat that if a hang myself the rope would break
SkinnyLana|@JOLONDOLO my life hahaha
SkinnyLana|I'm in love with my ex
SkinnyLana|Sorry that i'm fat
SkinnyLana|Everyone is so skinny ugh
SkinnyLana|All i need right now is some black coffe
SkinnyLana|My head hurts so much and my stomach makes some awful noises, can this day get any worse?
SkinnyLana|I hate to eat infront of people, all eyes on me it sucks
SkinnyLana|I don't wanna go to school, i always end up crying around the second period
SkinnyLana|Coffe coffe coffe coffe coffe
SkinnyLana|If you go to sleep hungry, you know you are doing something right
SkinnyLana|I have more tea in my body than blood
SkinnyLana|@BrokenIife_ soy argentina :)
SkinnyLana|@s0cietykilledme it gets better i promise, i do anything to try to make it better okey? Ask for help if u need it 💞
SkinnyLana|Too fat and ugly to have Snapchat
SkinnyLana|@BrokenIife_ sii!! Tu tambien?
SkinnyLana|@s0cietykilledme ur not alone, we all been there
